Date,Month,Year,Season,Day_of_Week,Is_Weekend,Weather_Type,Location_City,Location_State,Country,Zone,Place_Name,Place_Type,Establishment_Year,Google_Rating,Significance,Airport_Within_50km,Weekly_Off,DSLR_Allowed,Review_Count_Lakhs,Visitors_Count,Ticket_Price,Revenue,Tourist_Type,Rating
2024-11-16,November,2024,Autumn,Saturday,Yes,Warm,Neil Island,Andaman and Nicobar Islands,India,Southern,Bharatpur Beach,Beach,Unknown,4.5,Nature,No,None,Yes,0.04,147,0,0,Domestic,4.5
2024-02-06,February,2024,Winter,Tuesday,No,Cool,Kevadia,Gujarat,India,Western,Statue of Unity,Monument,2018,4.7,Historical,No,Monday,Yes,0.67,533,316,168428,Domestic,4.7
2023-01-23,January,2023,Winter,Monday,No,Clear,Patna,Bihar,India,Eastern,Sanjay Gandhi Biological Park,Zoo,Unknown,4.5,Wildlife,Yes,None,Yes,0.5,1148,33,37884,Domestic,4.5
2025-03-10,March,2025,Summer,Monday,No,Sunny,Jammu,Jammu and Kashmir,India,Northern,Vaishno Devi,Temple,Unknown,4.7,Religious,Yes,None,No,0.55,621,0,0,Domestic,4.7
2024-01-08,January,2024,Winter,Monday,No,Clear,Goa,Goa,India,Southern,Colva Beach,Beach,Unknown,4.2,Scenic,Yes,None,Yes,0.1,260,0,0,Domestic,4.2
2024-06-29,June,2024,Monsoon,Saturday,Yes,Hot,Bhuj,Gujarat,India,Western,White Desert,Site,1950,4.4,Nature,Yes,None,Yes,0.12,191,0,0,Domestic,4.4
2024-03-01,March,2024,Summer,Friday,No,Partly Cloudy,Ooty,Tamil Nadu,India,Southern,Ooty Lake,Lake,1824,3.9,Recreational,Yes,None,Yes,0.61,669,10,6690,Domestic,3.9
2023-05-12,May,2023,Summer,Friday,No,Sunny,Jammu,Jammu and Kashmir,India,Northern,Vaishno Devi,Temple,Unknown,4.9,Religious,Yes,None,No,0.55,422,0,0,Domestic,4.9
2024-10-31,October,2024,Autumn,Thursday,No,Clear,Pelling,Sikkim,India,Eastern,Pemayangtse Monastery,Monastery,1705,4.7,Religious,No,None,No,0.015,187,20,3740,Domestic,4.7
2025-02-27,February,2025,Winter,Thursday,No,Cold,Kufri,Himachal Pradesh,India,Northern,Kufri Fun World,Ski Resort,1975,3.9,Recreational,Yes,None,Yes,0.1,319,1553,495407,Domestic,3.9
2025-07-31,July,2025,Monsoon,Thursday,No,Humid,Fatehpur Sikri,Uttar Pradesh,India,Central,Buland Darwaza,Monument,1571,4.6,Historical,Yes,None,Yes,0.07,80,39,3120,International,4.6
2023-05-18,May,2023,Summer,Thursday,No,Partly Cloudy,Mussoorie,Uttarakhand,India,Northern,Kempty Falls,Waterfall,Unknown,4.3,Nature,Yes,None,Yes,0.55,537,16,8592,Domestic,4.3
2024-06-07,June,2024,Monsoon,Friday,No,Cloudy,Satara,Maharashtra,India,Western,Kaas Plateau,Valley,Unknown,4.3,Nature,No,None,Yes,0.05,110,286,31460,Domestic,4.3
2025-01-22,January,2025,Winter,Wednesday,No,Clear,Mumbai,Maharastra,India,Western,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,4.8,Historical,Yes,None,Yes,0.34,400,461,184400,Domestic,4.8
2023-12-30,December,2023,Winter,Saturday,Yes,Cool,Nagpur,Maharastra,India,Western,Deekshabhoomi,Monument,2001,4.6,Religious,Yes,None,Yes,0.11,411,0,0,International,4.6
2025-06-26,June,2025,Monsoon,Thursday,No,Cloudy,Hooghly,West Bengal,India,Eastern,Hangseswari Temple,Temple,1814,4.7,Architectural,Yes,None,No,0.07,65,0,0,Domestic,4.7
2023-04-14,April,2023,Summer,Friday,No,Sunny,Vadodara,Gujarat,India,Western,Laxmi Vilas Palace,Palace,1890,4.4,Historical,Yes,Monday,Yes,0.17,195,193,37635,Domestic,4.4
2024-12-12,December,2024,Winter,Thursday,No,Snowy,Gangtok,Sikkim,India,Eastern,Baba Harbhajan Singh Temple,Temple,1967,4.7,Religious,Yes,None,No,0.075,321,0,0,Domestic,4.7
2024-04-27,April,2024,Summer,Saturday,Yes,Warm,Kolkata,West Bengal,India,Eastern,Marble Palace,Palace,1835,4.2,Historical,Yes,None,Yes,0.1,342,0,0,International,4.2
2024-01-20,January,2024,Winter,Saturday,Yes,Clear,Matheran,Maharashtra,India,Western,Echo Point,Viewpoint,1828,4.5,Nature,Yes,None,Yes,0.02,142,0,0,Domestic,4.5
2025-05-16,May,2025,Summer,Friday,No,Hot,Mahabalipuram,Tamil Nadu,India,Southern,Shore Temple,Temple,Unknown,4.6,Historical,Yes,None,No,0.09,139,42,5838,Domestic,4.6
2023-04-08,April,2023,Summer,Saturday,Yes,Hot,Gurugram,Haryana,India,Northern,Ambience Mall,Mall,Unknown,4.4,Shopping,Yes,None,Yes,1.2,677,0,0,Domestic,4.4
2023-03-25,March,2023,Summer,Saturday,Yes,Hot,Kishtwar,Jammu and Kashmir,India,Northern,Kishtwar National Park,National Park,1981,4.3,Wildlife,No,None,Yes,0.01,238,102,24276,Domestic,4.3
2025-01-14,January,2025,Winter,Tuesday,No,Cool,Mumbai,Maharastra,India,Western,Sanjay Gandhi National Park,National Park,1996,4.2,Wildlife,Yes,Monday,Yes,0.6,529,46,24334,Domestic,4.2
2025-04-12,April,2025,Summer,Saturday,Yes,Pleasant,Manali,Himachal Pradesh,India,Northern,Solang Valley,Valley,Unknown,4.0,Adventure,No,None,Yes,0.05,310,0,0,Domestic,4.0
2024-01-05,January,2024,Winter,Friday,No,Foggy,Delhi,Delhi,India,Northern,Sunder Nursery,Park,1600,4.4,Botanical,Yes,None,Yes,0.16,357,0,0,Domestic,4.4
2024-08-16,August,2024,Monsoon,Friday,No,Stormy,Goa,Goa,India,Southern,Chapora Fort,Fort,1617,4.2,Historical,Yes,None,Yes,0.19,59,0,0,Domestic,4.2
2023-04-02,April,2023,Summer,Sunday,Yes,Sunny,Thiruvananthapuram,Kerala,India,Southern,Padmanabhaswamy Temple,Temple,Unknown,4.8,Religious,Yes,None,No,0.46,89,0,0,Domestic,4.8
2023-09-10,September,2023,Monsoon,Sunday,Yes,Rainy,Allahabad,Uttar Pradesh,India,Central,Triveni Sangam,Confluence,Unknown,4.6,Religious,Yes,None,Yes,0.09,99,0,0,International,4.6
2023-08-11,August,2023,Monsoon,Friday,No,Humid,Somnath,Gujarat,India,Western,Somnath Temple,Temple,1951,4.7,Religious,No,None,No,0.39,209,0,0,Domestic,4.7
2025-07-30,July,2025,Monsoon,Wednesday,No,Humid,Thekkady,Kerala,India,Southern,Periyar National Park,National Park,1982,4.4,Wildlife,No,None,Yes,0.14,46,48,2208,Domestic,4.4
2024-08-03,August,2024,Monsoon,Saturday,Yes,Rainy,Mumbai,Maharastra,India,Western,Haji Ali Dargah,Religious Shrine,1431,4.3,Religious,Yes,None,No,0.16,327,0,0,Domestic,4.3
2024-01-03,January,2024,Winter,Wednesday,No,Clear,Kolkata,West Bengal,India,Eastern,Indian Museum,Museum,1814,4.4,Historical,Yes,Monday,Yes,0.18,401,49,19649,Domestic,4.4
2024-02-17,February,2024,Winter,Saturday,Yes,Cold,Coorg,Karnataka,India,Southern,Abbey Falls,Waterfall,Unknown,3.9,Nature,No,None,Yes,0.03,203,0,0,Domestic,3.9
2024-05-28,May,2024,Summer,Tuesday,No,Warm,Gandhinagar,Gujarat,India,Western,Dandi Kutir,Museum,2013,4.4,Historical,No,None,Yes,0.05,151,0,0,Domestic,4.4
2023-10-12,October,2023,Autumn,Thursday,No,Clear,Balasore,Odisha,India,Eastern,Chandipur Beach,Beach,Unknown,4.3,Recreational,Yes,None,Yes,0.014,51,0,0,Domestic,4.3
2023-04-28,April,2023,Summer,Friday,No,Warm,Thanjavur,Tamil Nadu,India,Southern,Brihadeeswarar Temple,Temple,110,4.6,Religious,Yes,None,No,0.35,144,0,0,Domestic,4.6
2025-09-25,September,2025,Monsoon,Thursday,No,Cloudy,Purulia,West Bengal,India,Eastern,Ayodhya Hills,Hill,Unknown,4.4,Nature,No,None,Yes,0.15,54,0,0,Domestic,4.4
2023-05-26,May,2023,Summer,Friday,No,Hot,Hyderabad,Telangana,India,Southern,Birla Mandir,Temple,1976,4.5,Religious,Yes,None,No,0.41,176,0,0,Domestic,4.5
2025-07-18,July,2025,Monsoon,Friday,No,Rainy,Leh,Ladakh,India,Northern,Pangong Tso,Lake,Unknown,4.8,Nature,Yes,None,Yes,0.15,164,19,3116,Domestic,4.8
2024-04-15,April,2024,Summer,Monday,No,Hot,Alappuzha,Kerala,India,Southern,Alappuzha Beach,Beach,Unknown,4.4,Recreational,Yes,None,Yes,0.11,166,0,0,Domestic,4.4
2024-07-31,July,2024,Monsoon,Wednesday,No,Cloudy,Gangtok,Sikkim,India,Eastern,Tsomgo Lake,Lake,Unknown,4.3,Nature,Yes,None,Yes,0.15,160,0,0,Domestic,4.3
2024-11-08,November,2024,Autumn,Friday,No,Clear,Darjeeling,West Bengal,India,Eastern,Tiger Hill,Sunrise Point,Unknown,4.5,Nature,No,None,Yes,0.025,173,0,0,Domestic,4.5
2023-10-25,October,2023,Autumn,Wednesday,No,Clear,Alappuzha,Kerala,India,Southern,Alappuzha Beach,Beach,Unknown,4.3,Recreational,Yes,None,Yes,0.11,162,0,0,Domestic,4.3
2023-12-28,December,2023,Winter,Thursday,No,Clear,Indore,Madhya Pradesh,India,Central,Rajwada Palace,Palace,1747,4.5,Historical,Yes,None,Yes,0.63,831,10,8310,Domestic,4.5
2023-08-15,August,2023,Monsoon,Tuesday,No,Rainy,Rishikesh,Uttarakhand,India,Northern,Laxman Jhula,Suspension Bridge,1939,4.2,Cultural,Yes,None,Yes,0.03,110,0,0,Domestic,4.2
2023-05-13,May,2023,Summer,Saturday,Yes,Hot,Hyderabad,Telangana,India,Southern,Ramoji Film City,Film Studio,1996,4.2,Entertainment,Yes,None,Yes,0.45,249,1160,288840,Domestic,4.2
2024-03-29,March,2024,Summer,Friday,No,Warm,Hyderabad,Telangana,India,Southern,Inorbit Mall Cyberabad,Mall,2004,4.4,Shopping,Yes,None,Yes,1.2,694,0,0,Domestic,4.4
2024-04-04,April,2024,Summer,Thursday,No,Hot,Shirdi,Maharastra,India,Western,Sai Baba Temple,Temple,1922,4.5,Religious,Yes,None,No,0.69,591,0,0,Domestic,4.5
2025-01-24,January,2025,Winter,Friday,No,Cool,Chidambaram,Tamil Nadu,India,Southern,Nataraja Temple,Temple,Unknown,4.8,Religious,Yes,None,No,0.28,349,0,0,Domestic,4.8
2024-07-31,July,2024,Monsoon,Wednesday,No,Humid,Delhi,Delhi,India,Northern,Humayun's Tomb,Tomb,1572,4.7,Historical,Yes,None,Yes,0.4,83,29,2407,Domestic,4.7
2023-10-28,October,2023,Autumn,Saturday,Yes,Pleasant,Mumbai,Maharastra,India,Western,Marine Drive,Promenade,Unknown,4.6,Scenic,Yes,None,Yes,1.5,1801,0,0,Domestic,4.6
2023-05-06,May,2023,Summer,Saturday,Yes,Sunny,Konark,Odisha,India,Eastern,Sun Temple,Temple,1250,4.6,Historical,Yes,None,Yes,0.83,448,39,17472,Domestic,4.6
2024-03-10,March,2024,Summer,Sunday,Yes,Sunny,Gokarna,Karnataka,India,Southern,Om Beach,Beach,Unknown,4.3,Nature,No,None,Yes,0.09,207,0,0,Domestic,4.3
2025-02-05,February,2025,Winter,Wednesday,No,Pleasant,Majuli,Assam,India,North Eastern,Majuli Island,River Island,Unknown,4.7,Cultural,No,None,Yes,0.01,139,0,0,International,4.7
2025-02-06,February,2025,Winter,Thursday,No,Clear,Rourkela,Odisha,India,Eastern,Khandadhar Waterfall,Waterfall,Unknown,4.5,Nature,No,None,Yes,1.2,522,0,0,Domestic,4.5
2024-05-04,May,2024,Summer,Saturday,Yes,Sunny,Bandipur,Karnataka,India,Southern,Bandipur National Park,National Park,1974,4.3,Wildlife,No,None,Yes,0.15,160,329,52640,Domestic,4.3
2023-06-21,June,2023,Monsoon,Wednesday,No,Cloudy,Gurugram,Haryana,India,Northern,Kingdom of Dreams,Entertainment,2010,4.5,Entertainment,Yes,Monday,Yes,0.3,191,1123,214493,Domestic,4.5
2025-09-26,September,2025,Monsoon,Friday,No,Humid,Hyderabad,Telangana,India,Southern,Qutb Shahi Tombs,Tombs,1600,4.4,Historical,Yes,None,Yes,0.2,240,24,5760,Domestic,4.4
2024-06-11,June,2024,Monsoon,Tuesday,No,Foggy,Gangtok,Sikkim,India,Eastern,Nathula Pass,Hill,Unknown,4.4,Historical,Yes,None,Yes,0.15,116,18,2088,Domestic,4.4
2024-12-27,December,2024,Winter,Friday,No,Clear,Manali,Himachal Pradesh,India,Northern,Solang Valley,Valley,Unknown,4.0,Adventure,No,None,Yes,0.05,110,0,0,Domestic,4.0
2025-08-14,August,2025,Monsoon,Thursday,No,Cloudy,Jhansi,Uttar Pradesh,India,Central,Jhansi Fort,Fort,1613,4.2,Historical,Yes,None,Yes,0.25,56,15,840,Domestic,4.2
2025-03-13,March,2025,Summer,Thursday,No,Warm,Satara,Maharashtra,India,Western,Kaas Plateau,Valley,Unknown,4.5,Nature,No,None,Yes,0.05,75,322,24150,Domestic,4.5
2023-10-29,October,2023,Autumn,Sunday,Yes,Warm,Digha,West Bengal,India,Eastern,Digha Beach,Beach,Unknown,4.6,Recreational,No,None,Yes,0.09,109,0,0,International,4.6
2025-04-21,April,2025,Summer,Monday,No,Sunny,Jaisalmer,Rajasthan,India,Northern,Jaisalmer Fort,Fort,1156,4.5,Historical,No,None,Yes,0.56,71,53,3763,Domestic,4.5
2023-09-06,September,2023,Monsoon,Wednesday,No,Rainy,Hyderabad,Telangana,India,Southern,Golconda Fort,Fort,1600,4.2,Historical,Yes,None,Yes,1.2,814,30,24420,Domestic,4.2
2024-03-27,March,2024,Summer,Wednesday,No,Hot,Hyderabad,Telangana,India,Southern,Inorbit Mall Cyberabad,Mall,2004,4.3,Shopping,Yes,None,Yes,1.2,1136,0,0,Domestic,4.3
2023-01-08,January,2023,Winter,Sunday,Yes,Snowy,Pachmarhi,Madhya Pradesh,India,Central,Bee Falls,Waterfall,Unknown,4.5,Nature,No,None,Yes,0.065,85,15,1275,International,4.5
2025-10-20,October,2025,Autumn,Monday,No,Clear,Bhuj,Gujarat,India,Western,White Desert,Site,1950,4.4,Nature,Yes,None,Yes,0.12,413,0,0,Domestic,4.4
2025-08-03,August,2025,Monsoon,Sunday,Yes,Rainy,Gangtok,Sikkim,India,Eastern,Rumtek Monastery,Monastery,Unknown,4.7,Religious,Yes,None,No,0.035,95,11,1045,International,4.7
2023-10-02,October,2023,Autumn,Monday,No,Cool,Rameswaram,Tamil Nadu,India,Southern,Ramanathaswamy Temple,Temple,Unknown,4.8,Religious,No,None,No,0.01,168,0,0,Domestic,4.8
2024-11-18,November,2024,Autumn,Monday,No,Clear,Goa,Goa,India,Southern,Basilica of Bom Jesus,Church,1605,4.6,Historical,Yes,None,Yes,0.59,732,0,0,Domestic,4.6
2024-09-18,September,2024,Monsoon,Wednesday,No,Humid,Kishtwar,Jammu and Kashmir,India,Northern,Kishtwar National Park,National Park,1981,4.4,Wildlife,No,None,Yes,0.01,50,91,4550,Domestic,4.4
2025-01-11,January,2025,Winter,Saturday,Yes,Cold,New Delhi,Delhi,India,Northern,Gurudwara Bangla Sahib,Gurudwara,Unknown,4.7,Religious,Yes,None,Yes,1.05,1089,0,0,Domestic,4.7
2023-09-04,September,2023,Monsoon,Monday,No,Rainy,Agra,Uttar Pradesh,India,Central,Taj Mahal,Mausoleum,1632,4.7,Historical,Yes,Friday,Yes,2.25,658,49,32242,Domestic,4.7
2025-07-30,July,2025,Monsoon,Wednesday,No,Cloudy,Neil Island,Andaman and Nicobar Islands,India,Southern,Bharatpur Beach,Beach,Unknown,4.6,Nature,No,None,Yes,0.04,26,0,0,Domestic,4.6
2024-12-21,December,2024,Winter,Saturday,Yes,Clear,Jaipur,Rajasthan,India,Northern,Amber Fort,Fort,1592,4.5,Historical,Yes,None,Yes,1.5,2153,97,208841,Domestic,4.5
2025-05-02,May,2025,Summer,Friday,No,Warm,Gangtok,Sikkim,India,Eastern,Rumtek Monastery,Monastery,Unknown,4.6,Religious,Yes,None,No,0.035,310,10,3100,Domestic,4.6
2025-09-30,September,2025,Monsoon,Tuesday,No,Stormy,Goa,Goa,India,Southern,Chapora Fort,Fort,1617,4.4,Historical,Yes,None,Yes,0.19,90,0,0,Domestic,4.4
2025-10-19,October,2025,Autumn,Sunday,Yes,Warm,Bandhavgarh,Madhya Pradesh,India,Central,Bandhavgarh National Park,National Park,1968,4.6,Wildlife,No,None,Yes,0.05,127,49,6223,Domestic,4.6
2024-09-20,September,2024,Monsoon,Friday,No,Humid,Haridwar,Uttarakhand,India,Northern,Har Ki Pauri,Ghat,Unknown,4.5,Religious,Yes,None,Yes,0.025,53,0,0,Domestic,4.5
2025-08-19,August,2025,Monsoon,Tuesday,No,Rainy,Ranchi,Jharkhand,India,Eastern,Pahari Mandir,Temple,Unknown,4.7,Religious,Yes,None,Yes,0.13,105,0,0,Domestic,4.7
2024-02-14,February,2024,Winter,Wednesday,No,Clear,Hyderabad,Telangana,India,Southern,Lumbini Park,Park,1994,4.1,Recreational,Yes,None,Yes,0.73,315,21,6615,Domestic,4.1
2025-02-20,February,2025,Winter,Thursday,No,Cool,Ahmedabad,Gujarat,India,Western,Manek Chowk,Market,Unknown,4.4,Food,Yes,None,Yes,0.49,397,0,0,Domestic,4.4
2024-01-23,January,2024,Winter,Tuesday,No,Clear,Patna,Bihar,India,Eastern,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,4.5,Religious,Yes,None,Yes,0.25,279,0,0,Domestic,4.5
2024-05-17,May,2024,Summer,Friday,No,Hot,Hyderabad,Telangana,India,Southern,Chowmahalla Palace,Palace,1800,4.5,Historical,Yes,None,Yes,0.45,334,80,26720,International,4.5
2023-09-29,September,2023,Monsoon,Friday,No,Cloudy,Gangtok,Sikkim,India,Eastern,Tsomgo Lake,Lake,Unknown,4.5,Nature,Yes,None,Yes,0.15,154,0,0,Domestic,4.5
2024-04-27,April,2024,Summer,Saturday,Yes,Hot,Mangalore,Karnataka,India,Southern,Panambur Beach,Beach,Unknown,4.4,Recreational,Yes,None,Yes,0.1,240,0,0,Domestic,4.4
2024-07-20,July,2024,Monsoon,Saturday,Yes,Partly Cloudy,Bhuj,Gujarat,India,Western,White Desert,Site,1950,4.4,Nature,Yes,None,Yes,0.12,171,0,0,Domestic,4.4
2023-11-19,November,2023,Autumn,Sunday,Yes,Clear,Chandigarh,Punjab,India,Northern,Rock Garden,Sculpture Garden,1976,4.4,Artistic,Yes,None,Yes,0.5,535,29,15515,Domestic,4.4
2023-09-19,September,2023,Monsoon,Tuesday,No,Humid,Ajmer,Rajasthan,India,Northern,Ajmer Sharif Dargah,Shrine,1236,4.6,Religious,Yes,None,No,0.35,94,0,0,Domestic,4.6
2025-11-11,November,2025,Autumn,Tuesday,No,Warm,Chennai,Tamil Nadu,India,Southern,Marina Beach,Beach,Unknown,3.7,Recreational,Yes,None,Yes,0.1,345,0,0,Domestic,3.7
2024-07-21,July,2024,Monsoon,Sunday,Yes,Humid,Nashik,Maharastra,India,Western,Sula Vineyards,Vineyard,1999,4.0,Recreational,Yes,None,Yes,0.1,186,292,54312,Domestic,4.0
2025-10-10,October,2025,Autumn,Friday,No,Cool,Chidambaram,Tamil Nadu,India,Southern,Nataraja Temple,Temple,Unknown,4.6,Religious,Yes,None,No,0.28,431,0,0,International,4.6
2023-09-15,September,2023,Monsoon,Friday,No,Cloudy,Hyderabad,Telangana,India,Southern,Qutb Shahi Tombs,Tombs,1600,4.3,Historical,Yes,None,Yes,0.2,147,24,3528,Domestic,4.3
2023-06-06,June,2023,Monsoon,Tuesday,No,Humid,Vizianagaram,Andhra Pradesh,India,Southern,Simhachalam Temple,Temple,198,4.6,Religious,Yes,None,No,0.59,189,0,0,Domestic,4.6
2023-10-16,October,2023,Autumn,Monday,No,Cool,Patna,Bihar,India,Eastern,Budhha Smriti Park,Park,Unknown,4.2,Cultural,Yes,None,Yes,0.31,378,9,3402,Domestic,4.2
2025-02-18,February,2025,Winter,Tuesday,No,Clear,Alappuzha,Kerala,India,Southern,Alappuzha Beach,Beach,Unknown,4.5,Recreational,Yes,None,Yes,0.11,573,0,0,Domestic,4.5
2025-05-05,May,2025,Summer,Monday,No,Warm,Joshimath,Uttarakhand,India,Northern,Valley of Flowers,National Park,1982,4.7,Nature,No,None,Yes,0.035,97,161,15617,Domestic,4.7
2025-02-12,February,2025,Winter,Wednesday,No,Snowy,Leh,Ladakh,India,Northern,Magnetic Hill,Gravity Hill,Unknown,3.7,Nature,Yes,None,Yes,0.1,409,0,0,Domestic,3.7
2023-02-03,February,2023,Winter,Friday,No,Clear,Shoja,Himachal Pradesh,India,Northern,Serolsar Lake,Lake,Unknown,4.3,Nature,No,None,Yes,0.9,791,0,0,Domestic,4.3
2024-07-12,July,2024,Monsoon,Friday,No,Rainy,Ranchi,Jharkhand,India,Eastern,Pahari Mandir,Temple,Unknown,4.7,Religious,Yes,None,Yes,0.13,128,0,0,International,4.7
2024-09-06,September,2024,Monsoon,Friday,No,Humid,Delhi,Delhi,India,Northern,Agrasen ki Baoli,Stepwell,1400,4.2,Historical,Yes,None,Yes,0.41,97,0,0,Domestic,4.2
2024-01-31,January,2024,Winter,Wednesday,No,Pleasant,Satara,Maharashtra,India,Western,Kaas Plateau,Valley,Unknown,4.6,Nature,No,None,Yes,0.05,150,287,43050,International,4.6
2023-08-07,August,2023,Monsoon,Monday,No,Rainy,Delhi,Delhi,India,Northern,India Gate,War Memorial,1921,4.8,Historical,Yes,None,Yes,2.6,1377,0,0,Domestic,4.8
2025-05-01,May,2025,Summer,Thursday,No,Hot,Kochi,Kerala,India,Southern,LuLu International Shopping Mall,Mall,2013,4.7,Shopping,Yes,None,Yes,1.9,654,0,0,Domestic,4.7
2024-05-17,May,2024,Summer,Friday,No,Warm,Patna,Bihar,India,Eastern,Budhha Smriti Park,Park,Unknown,4.3,Cultural,Yes,None,Yes,0.31,278,10,2780,Domestic,4.3
2023-06-08,June,2023,Monsoon,Thursday,No,Rainy,Vizianagaram,Andhra Pradesh,India,Southern,Simhachalam Temple,Temple,198,4.7,Religious,Yes,None,No,0.59,212,0,0,Domestic,4.7
2024-09-05,September,2024,Monsoon,Thursday,No,Stormy,Alappuzha,Kerala,India,Southern,Alappuzha Beach,Beach,Unknown,4.6,Recreational,Yes,None,Yes,0.11,84,0,0,Domestic,4.6
2024-08-09,August,2024,Monsoon,Friday,No,Cloudy,Vrindavan,Uttar Pradesh,India,Central,Prem Mandir,Temple,2012,4.9,Religious,Yes,None,Yes,0.49,119,0,0,Domestic,4.9
2024-10-24,October,2024,Autumn,Thursday,No,Pleasant,Dehradun,Uttarakhand,India,Northern,Robber's Cave,Cave,Unknown,4.4,Nature,Yes,None,Yes,0.01,122,25,3050,International,4.4
2024-04-17,April,2024,Summer,Wednesday,No,Sunny,Goa,Goa,India,Southern,Miramar Beach,Beach,Unknown,4.2,Scenic,Yes,None,Yes,0.3,213,0,0,Domestic,4.2
2023-10-23,October,2023,Autumn,Monday,No,Pleasant,Chittorgarh,Rajasthan,India,Northern,Chittorgarh Fort,Fort,700,4.7,Historical,No,None,Yes,1.9,1093,41,44813,Domestic,4.7
2024-05-19,May,2024,Summer,Sunday,Yes,Warm,Rourkela,Odisha,India,Eastern,Khandadhar Waterfall,Waterfall,Unknown,4.7,Nature,No,None,Yes,1.2,1079,0,0,Domestic,4.7
2024-11-28,November,2024,Autumn,Thursday,No,Pleasant,Bhopal,Madhya Pradesh,India,Central,Madhya Pradesh Tribal Museum,Museum,2013,4.5,Cultural,Yes,Monday,Yes,0.15,243,10,2430,Domestic,4.5
2024-05-26,May,2024,Summer,Sunday,Yes,Hot,Mumbai,Maharastra,India,Western,Elephanta Caves,Monument,1987,4.3,Historical,Yes,None,Yes,0.35,397,589,233833,International,4.3
2023-08-10,August,2023,Monsoon,Thursday,No,Rainy,Lucknow,Uttar Pradesh,India,Central,Bara Imambara,Monument,1784,4.5,Historical,Yes,Monday,No,0.45,205,47,9635,International,4.5
2023-12-30,December,2023,Winter,Saturday,Yes,Cool,Kolkata,West Bengal,India,Eastern,Howrah Bridge,Bridge,1943,4.4,Architectural,Yes,None,No,1.2,1235,0,0,Domestic,4.4
2025-03-28,March,2025,Summer,Friday,No,Warm,Auli,Uttarakhand,India,Northern,Auli Ski Resort,Ski Resort,1990,4.7,Adventure,No,None,Yes,0.01,72,0,0,Domestic,4.7
2025-06-12,June,2025,Monsoon,Thursday,No,Rainy,Mussoorie,Uttarakhand,India,Northern,Kempty Falls,Waterfall,Unknown,4.4,Nature,Yes,None,Yes,0.55,229,15,3435,Domestic,4.4
2024-07-06,July,2024,Monsoon,Saturday,Yes,Cloudy,Dehradun,Uttarakhand,India,Northern,Robber's Cave,Cave,Unknown,4.6,Nature,Yes,None,Yes,0.01,48,26,1248,Domestic,4.6
2023-10-15,October,2023,Autumn,Sunday,Yes,Clear,Delhi,Delhi,India,Northern,Lotus Temple,Temple,1986,4.6,Religious,Yes,Monday,Yes,0.59,416,0,0,Domestic,4.6
2023-08-27,August,2023,Monsoon,Sunday,Yes,Humid,Manikaran,Himachal Pradesh,India,Northern,Manikaran Sahib,Gurudwara,1980,4.6,Religious,No,None,Yes,1.3,515,0,0,Domestic,4.6
2023-05-02,May,2023,Summer,Tuesday,No,Pleasant,Mount Abu,Rajasthan,India,Northern,Dilwara Temples,Temple,1100,4.5,Religious,No,None,No,0.05,183,0,0,Domestic,4.5
2023-12-15,December,2023,Winter,Friday,No,Pleasant,Udaipur,Rajasthan,India,Northern,Lake Pichola,Lake,1362,4.7,Nature,Yes,None,Yes,0.5,394,0,0,Domestic,4.7
2024-08-02,August,2024,Monsoon,Friday,No,Cloudy,Goa,Goa,India,Southern,Calangute Beach,Beach,Unknown,4.4,Scenic,Yes,None,Yes,0.26,50,0,0,Domestic,4.4
2023-08-20,August,2023,Monsoon,Sunday,Yes,Rainy,Vizianagaram,Andhra Pradesh,India,Southern,Simhachalam Temple,Temple,198,4.6,Religious,Yes,None,No,0.59,412,0,0,Domestic,4.6
2025-01-11,January,2025,Winter,Saturday,Yes,Clear,Visakhapatnam,Andhra Pradesh,India,Southern,Indira Gandhi Zoological Park,Zoo,1977,3.9,Wildlife,Yes,Monday,Yes,0.25,587,22,12914,International,3.9
2025-04-24,April,2025,Summer,Thursday,No,Hot,Chittorgarh,Rajasthan,India,Northern,Chittorgarh Fort,Fort,700,4.7,Historical,No,None,Yes,1.9,999,37,36963,Domestic,4.7
2023-08-10,August,2023,Monsoon,Thursday,No,Rainy,Delhi,Delhi,India,Northern,National Science Centre,Science,1992,4.4,Scientific,Yes,None,Yes,0.23,227,67,15209,Domestic,4.4
2024-09-11,September,2024,Monsoon,Wednesday,No,Cloudy,Visakhapatnam,Andhra Pradesh,India,Southern,Submarine Museum,Museum,22,4.6,Historical,Yes,None,Yes,0.49,63,39,2457,Domestic,4.6
2025-01-15,January,2025,Winter,Wednesday,No,Snowy,Hemis,Ladakh,India,Northern,Hemis National Park,National Park,1981,4.3,Wildlife,No,None,Yes,0.02,282,19,5358,Domestic,4.3
2023-09-13,September,2023,Monsoon,Wednesday,No,Cloudy,Chandigarh,Punjab,India,Northern,Rock Garden,Sculpture Garden,1976,4.4,Artistic,Yes,None,Yes,0.5,244,31,7564,Domestic,4.4
2023-07-28,July,2023,Monsoon,Friday,No,Humid,Hyderabad,Telangana,India,Southern,Inorbit Mall Cyberabad,Mall,2004,4.6,Shopping,Yes,None,Yes,1.2,744,0,0,Domestic,4.6
